Sentence,Verb_index,Verb,Verb_lemma,Prefix,Stem,Subject,Preposition,Object,Object_case,Object_lemma,Unified_preposition,Motion_type,
"Мандоліно важко було дивитися, як старий кожен день повертався без улову, і він виходив на берег, щоб допомогти йому віднести снасті багор, гарпун і обернутий навколо щогли вітрило.",13,виходив,виходити,ви,ходи́ти,він,на,берег,Acc,берег,На,literal,
Приблизно до того ж періоду багато хто відносить і знаменитий Потоп.,7,відносить,відносити,від,носи́ти,хто,до,періоду,Gen,період,До,metaphorical,
"ЗО грудня до Харкова приїхав секретар ЦК ВКП(б) В.М.Молотов, який теж вимагав від політбюро ЦК КП(б)У форсування темпів хлібозаготівель.",4,приїхав,приїхати,при,ї́хати,секретар,до,Харкова,Gen,харків,До,literal,
Роль HR’а у внутрішніх комунікаціях компанії Як правильно донести до співробітників важливі зміни у компаніях?,8,донести,донести,до,нести́,Роль,до,співробітників,Gen,співробітник,До,metaphorical,
"І, зрештою, що змінить така опозиція, коли прийде до влади?",7,прийде,прийти,при,іти́/йти́,,до,влади,Gen,влада,До,metaphorical,
"Поки військовий служить, він має жити у штатно-посадовому житлі, приїхав у Львів, взяв ключі, живе в квартирі.",9,приїхав,приїхати,при,ї́хати,,у,Львів,Acc,львів,В,literal,
"У 2007 році відбулася реорганізація хору, до його складу увійшли студенти старших курсів.",9,увійшли,увійти,в,іти́/йти́,студенти,до,складу,Gen,склад,До,metaphorical,
П'яний водій виїхав на тротуар і збив двох пішоходів.,2,виїхав,виїхати,ви,ї́хати,водій,на,тротуар,Acc,тротуар,На,literal,
"Цифрові версії - точні копії друкованого видання, які будуть регулярно оновлюватися і виходити в той же день, коли і паперова версія.",12,виходити,виходити,ви,ходи́ти,,в,день,Acc,день,В,metaphorical,
"Така їжа змушує голодну людину вдаватися до різних приправ і спецій, а це, у свою чергу, впливає на смак, спотворює його.",16,впливає,впливати,в,пла́вати,це,на,смак,Acc,смак,На,metaphorical,another meaning
"До складу Європейської Ради входить керівництво держав і (чи) урядів держав – членів ЄС, які очолюють виконавчу гілка влади, і навіть голова Європейської комісії.",4,входить,входити,в,ходи́ти,керівництво,до,складу,Gen,склад,До,metaphorical,
"Війна внесла свої корективи в долю кожного з військових, волонтерів, активістів.",1,внесла,внести,в,нести́,Війна,в,долю,Acc,доля,В,metaphorical,
Приходьте 14 вересня 2019 року на другий обласний лісівничо-просвітницький фестиваль «Пізнай ліс!»,0,Приходьте,приходити,при,ходи́ти,,на,фестиваль,Acc,фестиваль,На,literal,
"Я заліз Михайликові у вухо і чекав нагоди, щоб намовити його до гріха.",1,заліз,залізти,за,лíзти,Я,у,вухо,Acc,вухо,В,metaphorical,
"Я підвівся і підійшов до вікна, що не мало-справжніх тюремних ґрат, а було защельоване негрубими залізними прутами.",3,підійшов,підійти,під,іти́/йти́,,до,вікна,Gen,вікно,До,literal,
"Щодо останніх, то запропоновано внести зміни до складу таких комісій, зокрема – вилучити з їх складу представників Координаційного центру та Міністерства юстиції, збільшивши відповідно кількість представників вищих юридичних навчальних закладів.",4,внести,внести,в,нести́,,до,складу,Gen,склад,До,metaphorical,
"Це зручно, так як учень молодшої школи може приділяти головоломці близько однієї години в день, що позитивно впливає на інтелектуальний розвиток.",17,впливає,впливати,в,пла́вати,що,на,розвиток,Acc,розвиток,На,metaphorical,another meaning
"Майже третина (31%) оперативних працівників місцевої прокуратури мають стаж роботи в органах прокуратури до 5 років, що також опосередковано впливає на стан прокурорської діяльності.",19,впливає,впливати,в,пла́вати,що,на,стан,Acc,стан,На,metaphorical,another meaning
"Яйцеклітина вийшла у фалопієву трубу, була запліднена і имплантировалась в матку.",1,вийшла,вийти,ви,іти́/йти́,Яйцеклітина,у,трубу,Acc,труба,В,literal,
"Адже під час небезпечної для Туреччини кризи турки вирішили обрати своїм президентом молодого єврея, який разом зі своєю молодою командою зміг ввести країну до високорозвинутого цивілізованого світу.",21,ввести,ввести,в,вести́,,до,світу,Gen,світ,До,metaphorical,
"Кожна людина, яка заходить в приміщення Дерманської гімназії, звертає увагу на меморіальну дошку з написом ""Тут в 1917-1920 роках навчався Улас Самчук, видатний український письменник"" і його барельєф-портрет.",3,заходить,заходити,за,ходи́ти,яка,в,приміщення,Acc,приміщення,В,literal,
"Таким чином, представлення фінансових документів, проектів рішень поєднувалося з навчанням депутатів, що позитивно впливає на фаховий рівень членів комісії.",13,впливає,впливати,в,пла́вати,,на,рівень,Acc,рівень,На,metaphorical,another meaning
"На мою думку, це є лише збільшене вражіння від балачок населення з переходячими частинами нашої армії, бо коли б дійсно щось готовилося, то хтось мусів би прийти і до нас.",26,прийти,прийти,при,іти́/йти́,,до,нас,Gen,ми,До,literal,
На зустріч з дев’ятикласниками ЗОШ №2 (класний керівник Бойко О.С.) прийшла лікар-дерматолог районної лікарні Онищенко Лідія Павлівна.,10,прийшла,прийти,при,іти́/йти́,лікар,на,зустріч,Acc,зустріч,На,literal,
"Крім того, відповідні зміни внесено до Концепції оптимізації системи центральних органів виконавчої влади, схваленої розпорядженням Кабінету Міністрів України від 27 грудня 2017 року № 1013.",4,внесено,внести,в,нести́,,до,Концепції,Gen,концепція,До,metaphorical,
"Правда, до цього стилю відносять лише сукні довжини міді з облягаючим ліфом.",4,відносять,відносити,від,носи́ти,,до,стилю,Gen,стиль,До,metaphorical,
"Два тижні тому я вирішила поставити під сумнів те, що більшість проектів, які вперше вийшли на екрани цього.",14,вийшли,вийти,ви,іти́/йти́,які,на,екрани,Acc,екран,На,metaphorical,
"Кожна людина, яка хоче знати, скільки коштує віза, повинна зайти на наш офіційний сайт – там описано, скільки коштує віза і яка процедура подачі документів.",9,зайти,зайти,за,іти́/йти́,,на,сайт,Acc,сайт,На,metaphorical,
"У Ворзелі, який хочуть попри волю громади приєднати до Бучі, як Коцюбинське хочуть приєднати до Ірпеня, до влади прийшла рідна сестра міського голови Бучі – Людмила Федорук.",18,прийшла,прийти,при,іти́/йти́,сестра,до,влади,Gen,влада,До,metaphorical,
"Часом у пологих вибалках, що інколи приходять на зміну скелястим стінам, видно палатки і людей.",6,приходять,приходити,при,ходи́ти,,на,зміну,Acc,зміна,На,metaphorical,
"Олександр Сімочев привів до нас своїх вихованців і нам було цікаво спілкуватись одне з одним, бібліотекарям - розповідати про книжки, дітям - співати на знак подяки.",2,привів,привести,при,вести́,Олександр,до,нас,Gen,ми,До,literal,
"Щороку 17 вересня своє професійне свято відзначають рятівники, які щомиті, ризикуючи власним здоров’ям, а іноді й життям, готові прийти на допомогу всім, хто потрапив в небезпеку.",18,прийти,прийти,при,іти́/йти́,,на,допомогу,Acc,допомога,На,metaphorical,
"Нехай цей день, любі жінки, увійде у Вашу оселю з ніжним і прозорим ароматом перших квітів, з чистим подихом весняного повітря, з першими теплими сонячними променями, які зігрівають серця найчарівнішої половини людства…",5,увійде,увійти,в,іти́/йти́,день,у,оселю,Acc,оселя,В,metaphorical,
"KOMOD входить до складу офісно-торгово-розважального комплексу, побудованого компанією ТММ на вул. Луначарського, 4. Він був зданий в експлуатацію у грудні 2006 р.",1,входить,входити,в,ходи́ти,KOMOD,до,складу,Gen,склад,До,metaphorical,
"Саме ці рядки і стали назвою першої у житті одинадцятирічної школярки збірочки, що вийшла у світ далеко від її рідного дому Харкові.",13,вийшла,вийти,ви,іти́/йти́,,у,світ,Acc,світ,В,metaphorical,
Увести до складу комісії головного спеціаліста-юрисконсульта апарату райдержадміністрації.,0,Увести,увести,в,вести́,,до,складу,Gen,склад,До,metaphorical,
"Дніпровська ОДПІ ГУ ДФС у Дніпропетровській області звертає увагу платників, що вийшло оновлення «Єдиного вікна (DZV)» до версії 1.26.",11,вийшло,вийти,ви,іти́/йти́,оновлення,до,версії,Gen,версія,До,metaphorical,
"У 2008 р. Єгипет увійшов у десятку основних торговельних партнерів України, посівши 9 місце з питомою вагою 2,3% у загальному експорті товарів.",4,увійшов,увійти,в,іти́/йти́,Єгипет,у,десятку,Acc,десяток,В,metaphorical,
"По-перше дитина намагається внести корективи в авторський текст, покарати несправедливих, захистити слабких.",3,внести,внести,в,нести́,,в,текст,Acc,текст,В,metaphorical,
"Своє бачення ситуації висловив заступник міського голови Олексій Чепурко : « - Коли ми прийшли до міської ради, в місті була катастрофічна ситуація щодо громадського транспорту, зарплат водіям і монополісти - приватні перевізники.",14,прийшли,прийти,при,іти́/йти́,ми,до,ради,Gen,рада,До,metaphorical,
"Купуючи миючі засоби для миття глянсових натяжних стель необхідно стежити за тим, щоб до їх складу не входили шкідливі, агресивні речовини, які легко можуть порушити цілісність усього матеріалу і привести його у повну непридатність.",17,входили,входити,в,ходи́ти,речовини,до,складу,Gen,склад,До,metaphorical,
Відлетіли до Бога українські сини.,0,Відлетіли,відлетіти,від,летíти,сини,до,Бога,Gen,бог,До,metaphorical,
Пік його діяльності прийшов на час роботи на Бетлехемському сталеливарному комбінаті - в 1898-1901 роках.,3,прийшов,прийти,при,іти́/йти́,Пік,на,час,Acc,час,На,metaphorical,
Під загрозою повного оточення командувач групи армій генерал И. Гарпе 23 липня віддав наказ своєму війську залишити місто і відходити у бік Самбора.,19,відходити,відходити,від,ходи́ти,,у,бік,Acc,бік,В,literal,
"В комплект поставки арочних кімнатних дверей входить арочна лиштва, коробка та полотно з натуральної деревини.",6,входить,входити,в,ходи́ти,лиштва,в,комплект,Acc,комплект,В,metaphorical,
"Хоча сусіди розповіли, що часто бачать боржника, який виходить на балкон палити.",8,виходить,виходити,ви,ходи́ти,який,на,балкон,Acc,балкон,На,literal,
"Спеціалісти виділяють усього 5 фаз, які здатні впливати на швидкість росту врожаю та його якість.",7,впливати,впливати,в,пла́вати,,на,швидкість,Acc,швидкість,На,metaphorical,another meaning
"Він також виступив проти ДНР і ЛНР, хоча на референдум на підтримку цього утворення вийшли мільйони людей.",14,вийшли,вийти,ви,іти́/йти́,мільйони,на,підтримку,Acc,підтримка,На,literal,
За останній час старі фільми почали перетворювати в фільмокопії та виводить на великі екрани.,10,виводить,виводити,ви,води́ти,,на,екрани,Acc,екран,На,metaphorical,
В кінці лютого Жолкєвский прийшов на Волинь – і почалася перша справжня війна польської Корони з козаками.,4,прийшов,прийти,при,іти́/йти́,Жолкєвский,на,Волинь,Acc,волинь,На,literal,
"Навесні 1917 р., у часи воєнного лихоліття, Януш Корчак приїхав на Україну, зокрема до Києва, де, крім діяльності військового лікаря, він опікувався створенням і відкриттям сирітського притулку для польських та українських дітей.",9,приїхав,приїхати,при,ї́хати,Януш,на,Україну,Acc,україна,На,literal,
"До прикладу, в Македонії, яка є лідером з залучення іноземних інвестицій в високотехнологічну сферу на душу населення, звільняють інвесторів, що заходять в індустріальні парки, від податків на 10 років.",20,заходять,заходити,за,ходи́ти,,в,парки,Acc,парк,В,metaphorical,
"Греки наговорювали на нас, що приносимо в жертву людей.",5,приносимо,приносити,при,носи́ти,,в,жертву,Acc,жертва,В,metaphorical,
"Усім пояснював, що не можу прийти до медичного закладу, що потребую допомоги.",5,прийти,прийти,при,іти́/йти́,,до,закладу,Gen,заклад,До,literal,
Та буквально взяла мисткиню за руку й відвела до музею.,7,відвела,відвести,від,вести́,,до,музею,Gen,музей,До,literal,
У цьому році The Guardian і The New York Times внаслідок голосування віднесли це місто у рейтинг «топ» і назвали його найкращим щодо відпочинку через різноманіття культурної спадщини.,12,віднесли,віднести,від,нести́,,у,рейтинг,Acc,рейтинг,В,metaphorical,
"В╕н вийшов з одиночним п╕кетом на площу Лен╕на, до буд╕вл╕ рос╕йського «уряду» Криму.",1,вийшов,вийти,ви,іти́/йти́,В╕н,на,площу,Acc,площа,На,literal,
"Тому, якщо ви вирішили завести дитину в цей період, то прояви суперництва зі сторони старших дітей будуть не такими гострими.",4,завести,завести,за,вести́,,в,період,Acc,період,В,metaphorical,
"Через те як хто-небудь з них виходив із слободи у інше місце, його двір та земля залишалися або родичам, або й чужому, але з тим, щоб той узяв на себе його військові обов'язки — полкову службу.",6,виходив,виходити,ви,ходи́ти,хто,у,місце,Acc,місце,В,literal,
Вказані порушення негативно впливають на міжнародний імідж держави Україна.,3,впливають,впливати,в,пла́вати,порушення,на,імідж,Acc,імідж,На,metaphorical,another meaning
"Висока Нейрометаболіческая активність Нейромультивіту пов'язана з комплексним впливом вітамінів, що входять до його складу на різні ланки патогенезу захворювань нервової системи.",10,входять,входити,в,ходи́ти,,на,ланки,Acc,ланка,На,metaphorical,
"Якщо ви не маєте часу заїхати до нашого магазину, то завжди можете скористатися доставкою, яку здійснює сам «М’ясний рай».",5,заїхати,заїхати,за,ї́хати,,до,магазину,Gen,магазин,До,literal,
"Для дорослих користувачів оформлений рекомендаційний список ""Абетка здоров'я"", буклет ""У бібліотеку за здоров'ям"", бібліографічні покажчики літератури: «Що впливає на мозок дитини?",17,впливає,впливати,в,пла́вати,Що,на,мозок,Acc,мозок,На,metaphorical,another meaning
"Після перемоги життя повільно, але входило в своє русло.",5,входило,входити,в,ходи́ти,,в,русло,Acc,русло,В,metaphorical,
"Я щойно зайшла на сайт Верховної Ради на 3688, відкрила порівняльну таблицю, там не 43 статті немає, ні про бухгалтерський облік, про те, що ви говорите, ми все забрали.",2,зайшла,зайти,за,іти́/йти́,Я,на,сайт,Acc,сайт,На,metaphorical,
"Сильні флангові угруповання карфагенской піхоти вийшли на відкриті фланги римлян, а кіннота атакувала легіони з тилу.",5,вийшли,вийти,ви,іти́/йти́,угруповання,на,фланги,Acc,фланг,На,literal,
"Припустимо, що всякий раз, коли фірма 1 призначає ціну, що відрізняється від рх (ціни, що лежить поза рівноважної траєкторії), фірма 2 повірить у високий рівень витрат фірми 1. Тоді фірма 2 увійде на ринок, а фірма 1 може ввести свою монопольну ціну.",31,увійде,увійти,в,іти́/йти́,фірма,на,ринок,Acc,ринок,На,metaphorical,
Якась випадкова скалка могла нетактовно влізти у рахманне тіло Зоньки чи вп’ятися у задубілі лікті Люлька.,5,влізти,влізти,в,лíзти,,у,тіло,Acc,тіло,В,literal,
"Я зачекаю - і зайду до тебе пізніше, коли не такий зайнятий будеш.",4,зайду,зайти,за,іти́/йти́,,до,тебе,Gen,ти,До,literal,
"Дитячим Фондом ООН ЮНИСЕФ в ці заклади завезено дитячі обладнання для ігрових майданчиків, дитячі меблі, м’який інвентар.",7,завезено,завезти,за,везти́,ЮНИСЕФ,в,заклади,Acc,заклад,В,literal,
"Механік не приїде до вас додому лагодити ваш автомобіль, він запросить вас на станцію техобслуговування.",2,приїде,приїхати,при,ї́хати,Механік,до,вас,Gen,ви,До,literal,
Все підвело до дня п’ятого- заключного дня Тижня дитячого читання.,1,підвело,підвести,під,вести́,Все,до,дня,Gen,день,До,metaphorical,
"А ось татова Y-хромосома такими генами бідна, тому хлопчики часто зовнішністю виходять в маму.",11,виходять,виходити,ви,ходи́ти,хлопчики,в,маму,Acc,мама,В,metaphorical,
"За словами самого Айка, Netscape прийшов до ліцензійної угоди з компанією Sun (розробником Java), і ця мова отримала назву JavaScript.",5,прийшов,прийти,при,іти́/йти́,Netscape,до,угоди,Gen,угода,До,metaphorical,
"Проте не завжди вдається ""дійти згоди"" з податківцями щодо суми донарахованих податків, а отже таку незгоду доведеться якось довести до відома тих, хто на підставі акта перевірки приймає рішення.",18,довести,довести,до,вести́,,до,відома,Gen,відомий,До,metaphorical,
"Роком народження цього населеного пункту, що входить до Широквіської громади, вважається 1933…",6,входить,входити,в,ходи́ти,,до,громади,Gen,громада,До,metaphorical,
"І. Усі вчителі повинні приходити на роботу не пізніше, ніж за 15 хвилин до початку свого уроку.",4,приходити,приходити,при,ходи́ти,,на,роботу,Acc,робота,На,literal,
"Перший приніс у командну скарбничку 12 очок, другий – 7, і домінанта господарів розтанула до 5 пунктів (82:77).",1,приніс,принести,при,нести́,Перший,у,скарбничку,Acc,скарбничка,В,metaphorical,
"На цьому тижні в електронну торговельну систему ProZorro вже заведено перші 18 об'єктів ""малої"" приватизації у Львові та Житомирі.",9,заведено,завести,за,вести́,,в,систему,Acc,система,В,metaphorical,
Ось нарешті ви зійшли на вершину “Успішності”.,3,зійшли,зійти,з,іти́/йти́,ви,на,вершину,Acc,вершина,На,metaphorical,
У другу групу входять деякі священні книги інших релігій.,3,входять,входити,в,ходи́ти,книги,у,групу,Acc,група,В,metaphorical,
"Його ж спадкоємцям Петру та Івану однієї шапки на двох було мало, тому для співправителя Івана виготовили ще одну, а потім в ужиток царів увійшла корона.",24,увійшла,увійти,в,іти́/йти́,корона,в,ужиток,Acc,ужиток,В,metaphorical,
"До складу української команди експертів, яка брала участь у роботі Асамблеї, увійшов координатор з наукової роботи Інституту міжнародних відносин КНУ Антон Кориневич, який також став модератором сайд-івенту по Україні на цьому важливому міжнародному.",11,увійшов,увійти,в,іти́/йти́,координатор,до,складу,Gen,склад,До,metaphorical,
"Тест зовнішнього незалежного оцінювання з математики у 2019 році складається із 33 завдань п'яти форм, на виконання яких учасникам було відведено 180 хвилин.",20,відведено,відвести,від,вести́,,на,виконання,Acc,виконання,На,metaphorical,
"Почувши цю дивну новину, до гробу прийшли Петро й Іоанн, але знайшли в печері лише плащаницю, що в неї було обгорнуте тіло Ісуса.",6,прийшли,прийти,при,іти́/йти́,Петро,до,гробу,Gen,гроб,До,literal,
"До книжки увійшли повісті ""Утрачений світ"" і ""Відкриття Ралфлса Гоу"".",2,увійшли,увійти,в,іти́/йти́,повісті,до,книжки,Gen,книжка,До,metaphorical,
"Чудовий привід сходити з нею в затишне кафе, трохи поговорити, зробити багато спільних фото.",2,сходити,сходити,з,ходи́ти,,в,кафе,Acc,кафе,В,literal,
"І сказав я до вас: Прийшли ви до Аморейської гори, що Господь, Бог наш, дає нам.",5,Прийшли,прийти,при,іти́/йти́,ви,до,гори,Gen,гора,До,literal,
"Але це саме та техніка, наявність якої одразу виводить обслуговування клієнтів на якісно новий рівень.",8,виводить,виводити,ви,води́ти,наявність,на,рівень,Acc,рівень,На,metaphorical,
"Але запал пристрастей призвів до надмірного захоплення атаками й футзалісти Росі не тільки зрівняли гру, а за три хвилини до кінця поєдинку ще й вийшли вперед – 4:3.",24,вийшли,вийти,ви,іти́/йти́,,до,кінця,Gen,кінець,До,metaphorical,
Ви формуєте графік та Ви вносите в нього корективи.,5,вносите,вносити,в,носи́ти,Ви,в,нього,Acc,він,В,metaphorical,
"Борисе Івановичу, чому винесли на комітет, тому що треба сформувати делегацію, там будуть якісь заходи десь найближчим часом.",3,винесли,винести,ви,нести́,,на,комітет,Acc,комітет,На,metaphorical,
Я прошу усіх зайти в зал й приготуватись до голосування.,3,зайти,зайти,за,іти́/йти́,,в,зал,Acc,зал,В,literal,
"Деякі з творів на виставці «Ікона — сенс мого життя» є унікальними, як, наприклад вишита бісером мапа України, що увійшла до «Книги рекордів України».",19,увійшла,увійти,в,іти́/йти́,,до,Книги,Gen,книга,До,metaphorical,
"За словами Ярослава, частіше до них приходять студенти та більш старші люди, «діти рідко, бо не всі повинні таке бачити і не кожен зможе витримати таке видовище».",6,приходять,приходити,при,ходи́ти,студенти,до,них,Gen,вони,До,literal,
Цей додатковий вихідний допомагає нам відновити сили і вийти на роботу бадьорими і веселими.,8,вийти,вийти,ви,іти́/йти́,,на,роботу,Acc,робота,На,literal,
"Включає до свого складу відразу тріаду активних інгредієнтів: Пітоф – розслаблює гладку мускулатуру, знімає спазми; бромід фенпіверинію – також впливає на гладкі м’язи; натрію метамізол – має болезаспокійливу дію, знімає жар.",19,впливає,впливати,в,пла́вати,бромід,на,м’язи,Acc,м’яз,На,metaphorical,another meaning
"Завдяки преміальній акустичній системі від провідного виробника Krell, до якої входять 8 динаміків, центральній динамік, сабвуфер та підсилювач, у салоні можна створити справжню концертну атмосферу з високоякісним звучанням.",10,входять,входити,в,ходи́ти,динаміків,до,якої,Gen,який,До,metaphorical,
"«Те, що земля плодоносить, і те, що ми сьогодні маємо що принести до Господнього храму, є символом Божого благословення.",11,принести,принести,при,нести́,,до,храму,Gen,храм,До,literal,
"Але той, хто буде мати бажання, будь ласка, висловлюйтеся з тим, щоб ми вийшли на один із можливих варіантів алгоритму дій, пов'язаних із подальшим просуванням цього законопроекту.",13,вийшли,вийти,ви,іти́/йти́,ми,на,один,Acc,один,На,metaphorical,
"Так, у Гаазі також діє Міжнародний кримінальний суд, який уповноважений притягати до індивідуальної кримінальної відповідальності фізичних осіб за скоєння найтяжчих злочинів проти міжнародного права.",10,притягати,притягати,при,тяга́ти,,до,відповідальності,Gen,відповідальність,До,metaphorical,
"Але під час розвитку рогівки на неї впливає багато факторів як генетичних, так і зовнішніх.",7,впливає,впливати,в,пла́вати,факторів,на,неї,Acc,вона,На,metaphorical,another meaning
"До складу МТП входять понад 1,6 тис. об'єднань підприємців (федерації промисловців, національні торговельні палати, банківські союзи тощо, які охоплюють малі й середні фірми) та понад 6 тис. великих промислових і торгових компаній — індивідуальних членів.",3,входять,входити,в,ходи́ти,,до,складу,Gen,склад,До,metaphorical,
До складу української делегації увійшли представники кількох профільних підрозділів поліції на чолі із Головою Національної поліції України Сергієм Князєвим.,4,увійшли,увійти,в,іти́/йти́,представники,до,складу,Gen,склад,До,metaphorical,
"Кожен відвідувач може зареєструватися на сайті і безкоштовно внести в каталог інформацію про власні послуги, залишати повідомлення на форумі, створювати свої закриті чи відкриті групи та залишати коментарі в каталозі послуг та інше.",8,внести,внести,в,нести́,,в,каталог,Acc,катал,В,metaphorical,
"У тому числі маврикійським, тому, на наш погляд, інформація щодо особливостей туризму в цій острівній державі зацікавить багатьох туроператорів, які прагнуть вийти на нові напрямки та розширити список своїх пропозицій.",21,вийти,вийти,ви,іти́/йти́,,на,напрямки,Acc,напрямок,На,metaphorical,
"Об’єднаний трудовий архів забезпечує створення належних умов для зберігання та використання документів, що не входять до Національного архівного фонду, але задовольняють потреби соціально-правового характеру громадян.",14,входять,входити,в,ходи́ти,,до,фонду,Gen,фонд,До,metaphorical,
Арійська проблематика увійшла до сфери зацікавлень українських суспільствознавчих наук лише в останні кільканадцять років.,2,увійшла,увійти,в,іти́/йти́,проблематика,до,сфери,Gen,сфера,До,metaphorical,
"Проте ядром голосування стала найчисленніша в облраді фракція «Нашої України», до складу якої входить чимало вчених та вихідців із сусідніх реґіонів, котрі роками доводили згадувану «абсурдність теорії існування русинів як окремого народу».",13,входить,входити,в,ходи́ти,вчених,до,складу,Gen,склад,До,metaphorical,
"Несподівана смерть від тифу 29.04.1922 року не змогла унести в небуття вагомі творчі і культурно-просвітницькі здобутки Кирила Григоровича Стеценка, незважаючи на тривале шельмування радянською владою його імені.",8,унести,унести,в,нести́,,в,небуття,Acc,небуття,В,metaphorical,
День працівників водного господарства традиційно увійшов до професійних свят України.,5,увійшов,увійти,в,іти́/йти́,День,до,свят,Gen,свят,До,metaphorical,
"Ця модель цікава історією своєї появи, оскільки її вводили в часи, коли відповідні країни зазнавали досвіду масового внутрішнього переміщення, спричиненого збройними конфліктами чи природними катаклізмами.",8,вводили,вводити,в,води́ти,,в,часи,Acc,час,В,metaphorical,
"Та це був лише самообман (бо історичну мафію очолювали інші і його до неї практично не підпускали); самообманом було й те, що він, нібито, своїми дослідженнями вносить вклад у науку.",26,вносить,вносити,в,носи́ти,він,у,науку,Acc,наука,В,metaphorical,
"Після закінчення курсів він приїхав додому на три дні, після чого вперше вирушив на Схід.",4,приїхав,приїхати,при,ї́хати,він,на,дні,Acc,день,На,literal,
"Вища освіта в місті представлена десятком університетів і декількома училищами, що дозволяє юним хмельничанам не відставати в інтелектуальному розвитку і вносити свою лепту в розвиток краю, живучи і радіючи разом з ним.",20,вносити,вносити,в,носи́ти,,в,розвиток,Acc,розвиток,В,metaphorical,
Уряд вніс зміни до Правил дорожнього руху та прийняв відповідну постанову «Про внесення змін до Правил дорожнього руху».,1,вніс,внести,в,нести́,Уряд,до,Правил,Gen,правило,До,metaphorical,
Зараження вірусом не завжди приводить до розвитку патології.,4,приводить,приводити,при,води́ти,Зараження,до,розвитку,Gen,розвиток,До,metaphorical,
До неї увійшло і кілька нових толстовок.,2,увійшло,увійти,в,іти́/йти́,толстовок,до,неї,Gen,вона,До,metaphorical,
Приходить в серце Новий рік!»,0,Приходить,приходити,при,ходи́ти,,в,серце,Acc,серце,В,metaphorical,
"В разi коли кандидат не набрав необхiдної кiлькостi голосiв, селищний голова вносить на розгляд ради iншу кандидатуру.",11,вносить,вносити,в,носи́ти,голова,на,розгляд,Acc,розгляд,На,metaphorical,
Адже Москва на дух не зносить насильства.,5,зносить,зносити,з,носи́ти,Москва,на,дух,Acc,дух,На,metaphorical,
Це зводить до нуля можливість електрохімічної корозії.,1,зводить,зводити,з,води́ти,Це,до,нуля,Gen,нуля,До,metaphorical,
Цими днями я до нього заходив і помітив у ньому якусь прикру зміну.,5,заходив,заходити,за,ходи́ти,я,до,нього,Gen,він,До,literal,
"Павло Вірич особливу увагу присутніх звернув на те, що піднімати рівень водосховища планується виключно у паводковий період, тобто «висока вода», замість того, щоб просто сплисти в море, буде закумульована для використання згодом у посушливий період.",24,сплисти,сплисти,з,плисти́,,в,море,Acc,море,В,literal,
"Систематизовано чинники, що впливають на розвиток українського ринку освітніх послуг.",3,впливають,впливати,в,пла́вати,,на,розвиток,Acc,розвиток,На,metaphorical,another meaning
"Отже, Chevrolet Cruze приходить на зміну вже давно полюбився українцями Chevrolet Lacetti, який став формально «середньостатистичним» (не рахуючи Lanos) автомобілем - представлений у середньому класі, в середньому ціновому діапазоні.",3,приходить,приходити,при,ходи́ти,Chevrolet,на,зміну,Acc,зміна,На,metaphorical,
"До числа лідера продажів можна віднести і вантажний Doblo, який отримав більшу популярність серед дрібних підприємців у всьому світі.",5,віднести,віднести,від,нести́,,до,числа,Gen,число,До,metaphorical,
