,Sentence,Verb_index,Verb,Verb_lemma,Prefix,Stem,Subject,Preposition,Object,Object_case,Object_lemma,Unified_preposition,Motion_type,Unnamed: 13,Gold_standard,Unnamed: 0,Wrapped
5929,"«Їх почали залякувати, до них почали приходити люди спортивної зовнішності, погрожувати фізичною розправою.",6,приходити,приходити,при,ходи́ти,,до,них,Gen,вони,До,literal,,model,16153.0,"«Їх почали залякувати, до них почали [TARGET] приходити [/TARGET] люди спортивної зовнішності, погрожувати фізичною розправою."
5932,"Їх тільки семеро - сміливців, які в Казані вийшли пікетом на підтримку українського Євромайдану.",8,вийшли,вийти,ви,іти́/йти́,які,на,підтримку,Acc,підтримка,На,literal,,model,16160.0,"Їх тільки семеро - сміливців, які в Казані [TARGET] вийшли [/TARGET] пікетом на підтримку українського Євромайдану."
5951,"Його не встигли довезти до лікарні, поранення виявилось смертельним.",3,довезти,довезти,до,везти́,,до,лікарні,Gen,лікарня,До,literal,,model,16256.0,"Його не встигли [TARGET] довезти [/TARGET] до лікарні, поранення виявилось смертельним."
5952,Його оригінал персонал завіз в обласну раду.,3,завіз,завезти,за,везти́,персонал,в,раду,Acc,рада,В,literal,,model,16264.0,Його оригінал персонал [TARGET] завіз [/TARGET] в обласну раду.
5956,"Його пристукують, але відразу на його місце прилітає інший.",7,прилітає,прилітати,при,літа́ти,інший,на,місце,Acc,місце,На,literal,,model,16276.0,"Його пристукують, але відразу на його місце [TARGET] прилітає [/TARGET] інший."
5966,"Його увагу привернула середніх літ жінка, яка підійшла до віконця каси і попросила дати їй квиток до того ж містечка, куди мав їхати він.",7,підійшла,підійти,під,іти́/йти́,яка,до,віконця,Gen,віконець,До,literal,,model,16304.0,"Його увагу привернула середніх літ жінка, яка [TARGET] підійшла [/TARGET] до віконця каси і попросила дати їй квиток до того ж містечка, куди мав їхати він."
5970,"Йому заочно, як в НКВД, — присуджувано заборону входити до церкви.",8,входити,входити,в,ходи́ти,,до,церкви,Gen,церква,До,literal,,model,16318.0,"Йому заочно, як в НКВД, — присуджувано заборону [TARGET] входити [/TARGET] до церкви."
5971,"Йому на допомогу прийшов Назар Пиц, який активно готує юних спортсменів.",3,прийшов,прийти,при,іти́/йти́,Назар,на,допомогу,Acc,допомога,На,literal,,model,16321.0,"Йому на допомогу [TARGET] прийшов [/TARGET] Назар Пиц, який активно готує юних спортсменів."
5973,"Йому на телефон прийшло повідомлення: «Отче, спасибі за проповідь, я її ще переказала своїм подругам, котрі не були в церкві.",3,прийшло,прийти,при,іти́/йти́,повідомлення,на,телефон,Acc,телефон,На,literal,,model,16324.0,"Йому на телефон [TARGET] прийшло [/TARGET] повідомлення: «Отче, спасибі за проповідь, я її ще переказала своїм подругам, котрі не були в церкві."
5981,"Каже: має перші вихідні за чотири місяці, тож вирішив відвезти дітей на фестиваль.",9,відвезти,відвезти,від,везти́,,на,фестиваль,Acc,фестиваль,На,literal,,model,16408.0,"Каже: має перші вихідні за чотири місяці, тож вирішив [TARGET] відвезти [/TARGET] дітей на фестиваль."
5985,"Казав, що чекає кур'єрів від Прута, щоб відійти у Карпати.",7,відійти,відійти,від,іти́/йти́,,у,Карпати,Acc,карпати,В,literal,,model,16435.0,"Казав, що чекає кур'єрів від Прута, щоб [TARGET] відійти [/TARGET] у Карпати."
5986,"Казала: хоч би що з тобою сталося, насамперед приходь до мене, якщо вб’єш когось.",8,приходь,приходити,при,ходи́ти,,до,мене,Gen,я,До,literal,,model,16436.0,"Казала: хоч би що з тобою сталося, насамперед [TARGET] приходь [/TARGET] до мене, якщо вб’єш когось."
5987,"Казка в’єтнамського письменника про рішучу і сміливу жабу Кок, яка не побоялася вилізти на небо і вимагати у його володаря, аби той послав на землю дощ, щоб росли та буяли трави й дерева, були повноводні річки і озера, щоб жили птахи та звірі.",12,вилізти,вилізти,ви,лíзти,,на,небо,Acc,небо,На,literal,,model,16439.0,"Казка в’єтнамського письменника про рішучу і сміливу жабу Кок, яка не побоялася [TARGET] вилізти [/TARGET] на небо і вимагати у його володаря, аби той послав на землю дощ, щоб росли та буяли трави й дерева, були повноводні річки і озера, щоб жили птахи та звірі."
5997,"Капустянки заповзають в банки і вибратися звідти не можуть"", – каже Василь Агопшук.",1,заповзають,заповзати,за,по́взати,Капустянки,в,банки,Acc,банк,В,literal,,model,16478.0,"Капустянки [TARGET] заповзають [/TARGET] в банки і вибратися звідти не можуть"", – каже Василь Агопшук."
6002,"КАТАЛІНА В свято Благовіщеня, коли я зайшла до храму, то процесія на чолі з архієпископом вже наближалася до вівтаря.",6,зайшла,зайти,за,іти́/йти́,я,до,храму,Gen,храм,До,literal,,model,16497.0,"КАТАЛІНА В свято Благовіщеня, коли я [TARGET] зайшла [/TARGET] до храму, то процесія на чолі з архієпископом вже наближалася до вівтаря."
6003,"Категорично забороняється заходити на територію військових об’єктів або об’єктів, що перебувають під охороною, фотографувати зазначені об’єкти.",2,заходити,заходити,за,ходи́ти,,на,територію,Acc,територія,На,literal,,model,16501.0,"Категорично забороняється [TARGET] заходити [/TARGET] на територію військових об’єктів або об’єктів, що перебувають під охороною, фотографувати зазначені об’єкти."
6018,"Квартира затишна, вікна виходять у двір.",3,виходять,виходити,ви,ходи́ти,вікна,у,двір,Acc,двір,В,literal,,model,16533.0,"Квартира затишна, вікна [TARGET] виходять [/TARGET] у двір."
6019,"Квартира хороша,але господарі мають звичку заходити до вас коли ім вздумається і без стуку,ще хозяйка в зданій нам квартирі прала цілісінький день, мотивуючи тим,що в неі одна пральна машинка,що в принципі я вважаю недопустимо.",5,заходити,заходити,за,ходи́ти,,до,вас,Gen,ви,До,literal,,model,16534.0,"Квартира хороша,але господарі мають звичку [TARGET] заходити [/TARGET] до вас коли ім вздумається і без стуку,ще хозяйка в зданій нам квартирі прала цілісінький день, мотивуючи тим,що в неі одна пральна машинка,що в принципі я вважаю недопустимо."
6022,"К. Гордієнко привів на допомогу шведам частину запорожців, але в цей час російські війська разом із козаками Галагана атакували і знищили Січ.",2,привів,привести,при,вести́,К,на,допомогу,Acc,допомога,На,literal,,model,16548.0,"К. Гордієнко [TARGET] привів [/TARGET] на допомогу шведам частину запорожців, але в цей час російські війська разом із козаками Галагана атакували і знищили Січ."
6039,Київ знову побачив преподобного Антонія й благословення святого мужа сплило на Дніпро і на матір міст руських – Київ.,9,сплило,сплисти,з,плисти́,,на,Дніпро,Acc,дніпро,На,literal,,model,16587.0,Київ знову побачив преподобного Антонія й благословення святого мужа [TARGET] сплило [/TARGET] на Дніпро і на матір міст руських – Київ.
6042,"КИРИЛЕНКО І.Г. Друзі, два роки людина не приходить на комітет, йому законопроект потрібен?",7,приходить,приходити,при,ходи́ти,людина,на,комітет,Acc,комітет,На,literal,,model,16593.0,"КИРИЛЕНКО І.Г. Друзі, два роки людина не [TARGET] приходить [/TARGET] на комітет, йому законопроект потрібен?"
6043,"Кирило Аніцой, який вийшов на заміну в перерві зустрічі, на старті другого тайму зрівняв рахунок.",3,вийшов,вийти,ви,іти́/йти́,який,на,заміну,Acc,замін,На,literal,,model,16594.0,"Кирило Аніцой, який [TARGET] вийшов [/TARGET] на заміну в перерві зустрічі, на старті другого тайму зрівняв рахунок."
6047,«Китайські лікарі привезли у Рівне нову методику оперативного лікування деформуючого артрозу.,2,привезли,привезти,при,везти́,лікарі,у,Рівне,Acc,рівне,В,literal,,model,16603.0,«Китайські лікарі [TARGET] привезли [/TARGET] у Рівне нову методику оперативного лікування деформуючого артрозу.
6048,"Китайці часто починають свій ранок з того, що забігають на найближчу гору (невеликий лісистий пагорб) і 5-10 хвилин кричать що є сечі, виплескуючи свою злість і агресію.",8,забігають,забігати,за,бíгати,,на,гору,Acc,гора,На,literal,,model,16604.0,"Китайці часто починають свій ранок з того, що [TARGET] забігають [/TARGET] на найближчу гору (невеликий лісистий пагорб) і 5-10 хвилин кричать що є сечі, виплескуючи свою злість і агресію."
6049,Кілька чоловік з моїх колег-депутатів регулярно заходили до неї і про щось там розмовляли.,6,заходили,заходити,за,ходи́ти,чоловік,до,неї,Gen,вона,До,literal,,model,16608.0,Кілька чоловік з моїх колег-депутатів регулярно [TARGET] заходили [/TARGET] до неї і про щось там розмовляли.
6055,"Кількість учнів, яких підвозять до школи.",3,підвозять,підвозити,під,вози́ти,,до,школи,Gen,школа,До,literal,,model,16623.0,"Кількість учнів, яких [TARGET] підвозять [/TARGET] до школи."
6057,Кімберкер був переконаним лютеранином і не дозволяв священикові входити в його будинок зі Святим Причастям.,8,входити,входити,в,ходи́ти,,в,будинок,Acc,будинок,В,literal,,model,16626.0,Кімберкер був переконаним лютеранином і не дозволяв священикові [TARGET] входити [/TARGET] в його будинок зі Святим Причастям.
6059,"Кім Чен Ин прийшов на концерт зі ""страченим"" чиновником - oстанні новини світу Depo.",3,прийшов,прийти,при,іти́/йти́,Кім,на,концерт,Acc,концерт,На,literal,,model,16628.0,"Кім Чен Ин [TARGET] прийшов [/TARGET] на концерт зі ""страченим"" чиновником - oстанні новини світу Depo."
6067,"Кладуть на підлогу свої полотняні мішки або фанерні валізки, знімають латані чоботи або матерчаті туфлі, штани та піджаки з ""чортової шкіри"", домоткані полотняні порти і підходять до лікаря, прикриваючи долонями соромливі місця.",25,підходять,підходити,під,ходи́ти,,до,лікаря,Gen,лікар,До,literal,,model,16646.0,"Кладуть на підлогу свої полотняні мішки або фанерні валізки, знімають латані чоботи або матерчаті туфлі, штани та піджаки з ""чортової шкіри"", домоткані полотняні порти і [TARGET] підходять [/TARGET] до лікаря, прикриваючи долонями соромливі місця."
6068,Клієнту не потрібно заходити на сайт або заповнювати реквізити картки.,3,заходити,заходити,за,ходи́ти,,на,сайт,Acc,сайт,На,literal,,model,16668.0,Клієнту не потрібно [TARGET] заходити [/TARGET] на сайт або заповнювати реквізити картки.
6070,Клуб запрошує у свої ряди всіх без винятку бажаючих вийти на туристські стежки.,9,вийти,вийти,ви,іти́/йти́,,на,стежки,Acc,стежка,На,literal,,model,16677.0,Клуб запрошує у свої ряди всіх без винятку бажаючих [TARGET] вийти [/TARGET] на туристські стежки.
6082,"Княгиня, яка рано відійшла до Господа, на смертному одрі просила своїх рідних дати обіцянку дотримуватися православної віри.",3,відійшла,відійти,від,іти́/йти́,яка,до,Господа,Gen,господ,До,literal,,model,16729.0,"Княгиня, яка рано [TARGET] відійшла [/TARGET] до Господа, на смертному одрі просила своїх рідних дати обіцянку дотримуватися православної віри."
6087,"Ковпак тоді групу розв'язав і казав бійцям спасатися з німецького кільця, перебиватися групами чи гуртками, а опісля прямувати на північ і збиратися в тих місцях, звідки вийшли в рейд, де повинні бути околиці, опановані партизанами.",26,вийшли,вийти,ви,іти́/йти́,,в,рейд,Acc,рейд,В,literal,,model,16752.0,"Ковпак тоді групу розв'язав і казав бійцям спасатися з німецького кільця, перебиватися групами чи гуртками, а опісля прямувати на північ і збиратися в тих місцях, звідки [TARGET] вийшли [/TARGET] в рейд, де повинні бути околиці, опановані партизанами."
6088,"Кого літаком, кого ""столипіном"" – почали засвітлених членів Об'єднання звозити до ""матері городів руських"".",9,звозити,звозити,з,вози́ти,,до,матері,Gen,мати,До,literal,,model,16755.0,"Кого літаком, кого ""столипіном"" – почали засвітлених членів Об'єднання [TARGET] звозити [/TARGET] до ""матері городів руських""."
6090,"Кодимські залізничники привели в порядок територію станції, провели ремонт залізничних колій.",2,привели,привести,при,вести́,залізничники,в,порядок,Acc,порядок,В,literal,,model,16759.0,"Кодимські залізничники [TARGET] привели [/TARGET] в порядок територію станції, провели ремонт залізничних колій."
6093,"Кожен день вони були готові злетіти в небо, тому що розуміли: без їхньої підтримки воїнам буде важко.",5,злетіти,злетіти,з,летíти,,в,небо,Acc,небо,В,literal,,model,16771.0,"Кожен день вони були готові [TARGET] злетіти [/TARGET] в небо, тому що розуміли: без їхньої підтримки воїнам буде важко."
6098,Кожен може зайти до храму і порівняти збережені старі розписи із відреставрованими.,2,зайти,зайти,за,іти́/йти́,,до,храму,Gen,храм,До,literal,,model,16793.0,Кожен може [TARGET] зайти [/TARGET] до храму і порівняти збережені старі розписи із відреставрованими.
6104,"Кожен, хто заходив до хати, одразу міг оцінити роботу жінок і дівчат, дивлячись на ці рушники.",2,заходив,заходити,за,ходи́ти,хто,до,хати,Gen,хата,До,literal,,model,16822.0,"Кожен, хто [TARGET] заходив [/TARGET] до хати, одразу міг оцінити роботу жінок і дівчат, дивлячись на ці рушники."
6105,"Кожна із них вилазить по черзі на ворота, тримаючи в руках горщик із вечерею і тричі гукає: «Доле, доле, йди до нас вечеряти!",3,вилазить,вилазити,ви,ла́зити,Кожна,на,ворота,Acc,ворота,На,literal,,model,16835.0,"Кожна із них [TARGET] вилазить [/TARGET] по черзі на ворота, тримаючи в руках горщик із вечерею і тричі гукає: «Доле, доле, йди до нас вечеряти!"
6108,"Кожного з них просила зустріти її біля поїзда, бо самій не під силу занести тягар у графічну майстерню.",13,занести,занести,за,нести́,,у,майстерню,Acc,майстерня,В,literal,,model,16872.0,"Кожного з них просила зустріти її біля поїзда, бо самій не під силу [TARGET] занести [/TARGET] тягар у графічну майстерню."
6111,"Коли в нас будуть діяти закони, такі цивілізовані, то до нас прийдуть інвестори з інших країн.",11,прийдуть,прийти,при,іти́/йти́,інвестори,до,нас,Gen,ми,До,literal,,model,16884.0,"Коли в нас будуть діяти закони, такі цивілізовані, то до нас [TARGET] прийдуть [/TARGET] інвестори з інших країн."
6112,"Коли вони вбігли в клас, там відбувався смітник.",2,вбігли,вбігти,в,бíгти,вони,в,клас,Acc,клас,В,literal,,model,16895.0,"Коли вони [TARGET] вбігли [/TARGET] в клас, там відбувався смітник."
6113,"Коли вони вийшли на берег, діставшись до своєї мети, таємничого Острова Тіней, Еліс привела їх до печери, оповитою павутиною.",2,вийшли,вийти,ви,іти́/йти́,вони,на,берег,Acc,берег,На,literal,,model,16896.0,"Коли вони [TARGET] вийшли [/TARGET] на берег, діставшись до своєї мети, таємничого Острова Тіней, Еліс привела їх до печери, оповитою павутиною."
6114,"Коли вони вийшли на вулицю, Алекс виявилася в натовпі бунтівників і її повалив поліцейський - тоді Скотт і підбіг до неї, заспокоїв і поцілував, що і відобразив фотограф.",2,вийшли,вийти,ви,іти́/йти́,вони,на,вулицю,Acc,вулиця,На,literal,,model,16897.0,"Коли вони [TARGET] вийшли [/TARGET] на вулицю, Алекс виявилася в натовпі бунтівників і її повалив поліцейський - тоді Скотт і підбіг до неї, заспокоїв і поцілував, що і відобразив фотограф."
6117,"Коли всі так тужили, раптом зайшли до хати мої віруючі друзі, які спершу подумали, що я померла, бо побачили всіх у жалобі, а мене — зовсім роздягнену.",5,зайшли,зайти,за,іти́/йти́,друзі,до,хати,Gen,хата,До,literal,,model,16911.0,"Коли всі так тужили, раптом [TARGET] зайшли [/TARGET] до хати мої віруючі друзі, які спершу подумали, що я померла, бо побачили всіх у жалобі, а мене — зовсім роздягнену."
6118,"Коли в Україну прийшла війна, священик греко-католицької церкви із Рогатина вирішив залишити свою паству і вирушив на фронт.",3,прийшла,прийти,при,іти́/йти́,війна,в,Україну,Acc,україна,В,literal,,model,16914.0,"Коли в Україну [TARGET] прийшла [/TARGET] війна, священик греко-католицької церкви із Рогатина вирішив залишити свою паству і вирушив на фронт."
6120,"Коли входиш до аудиторії, робиш перевірку наявності студентів, дивишся в їхні очі та обличчя, мимоволі розумієш: я його знаю.",1,входиш,входити,в,ходи́ти,,до,аудиторії,Gen,аудиторія,До,literal,,model,16917.0,"Коли [TARGET] входиш [/TARGET] до аудиторії, робиш перевірку наявності студентів, дивишся в їхні очі та обличчя, мимоволі розумієш: я його знаю."
6122,"Коли дитина вже не потребує памперсів, потрібно намагатися частіше робити зупинки, щоб відвести дитину в туалет і уникнути неприємних моментів в дорозі.",12,відвести,відвести,від,вести́,,в,туалет,Acc,туалет,В,literal,,model,16926.0,"Коли дитина вже не потребує памперсів, потрібно намагатися частіше робити зупинки, щоб [TARGET] відвести [/TARGET] дитину в туалет і уникнути неприємних моментів в дорозі."
6123,"Коли дитину вносили перший раз в будинок, його обов'язково потрібно було покласти на що-небудь м'яке (частіше - на овчину або на подушку) і тричі повторити заклинання: «Постіль м'яка і життя легке».",2,вносили,вносити,в,носи́ти,,в,будинок,Acc,будинок,В,literal,,model,16931.0,"Коли дитину [TARGET] вносили [/TARGET] перший раз в будинок, його обов'язково потрібно було покласти на що-небудь м'яке (частіше - на овчину або на подушку) і тричі повторити заклинання: «Постіль м'яка і життя легке»."
6124,"Коли дівчинці було сім років, до їхнього містечка приїхав св. Герман, єпископ Оксерра, котрий прямував до Великобританії задля боротьби з єрессю Пелагія.",8,приїхав,приїхати,при,ї́хати,св,до,містечка,Gen,містечка,До,literal,,model,16936.0,"Коли дівчинці було сім років, до їхнього містечка [TARGET] приїхав [/TARGET] св. Герман, єпископ Оксерра, котрий прямував до Великобританії задля боротьби з єрессю Пелагія."
6125,"Коли до вашої дитини прийдуть угості друзі, запропонуйте їм вивчити ролі та зробити виставу улюбленої казки, як, наприклад, «Троє поросят», і показати її батькам.",4,прийдуть,прийти,при,іти́/йти́,угості,до,дитини,Gen,дитина,До,literal,,model,16938.0,"Коли до вашої дитини [TARGET] прийдуть [/TARGET] угості друзі, запропонуйте їм вивчити ролі та зробити виставу улюбленої казки, як, наприклад, «Троє поросят», і показати її батькам."
6126,"Коли довідався про це комендант табору, він, як скажений, прибіг до мене і погрожував мені арештом, але було вже пізно.",9,прибіг,прибігти,при,бíгти,він,до,мене,Gen,я,До,literal,,model,16939.0,"Коли довідався про це комендант табору, він, як скажений, [TARGET] прибіг [/TARGET] до мене і погрожував мені арештом, але було вже пізно."
6127,"Коли до Києва приїздить єпископат, то за загальними трапезами Патріарх порушує різні церковно-історичні, богословські теми.",3,приїздить,приїздити,при,ї́здити,єпископат,до,Києва,Gen,київ,До,literal,,model,16940.0,"Коли до Києва [TARGET] приїздить [/TARGET] єпископат, то за загальними трапезами Патріарх порушує різні церковно-історичні, богословські теми."
6128,"Коли до мене приходила ваша колега з іншого видання, приміряла ту шапку на себе.",3,приходила,приходити,при,ходи́ти,колега,до,мене,Gen,я,До,literal,,model,16942.0,"Коли до мене [TARGET] приходила [/TARGET] ваша колега з іншого видання, приміряла ту шапку на себе."
6129,"Коли до нас приходила міліція, я боялася, що нас розлучать з мамою.",3,приходила,приходити,при,ходи́ти,міліція,до,нас,Gen,ми,До,literal,,model,16943.0,"Коли до нас [TARGET] приходила [/TARGET] міліція, я боялася, що нас розлучать з мамою."
6130,"Коли до нього прийшла кубанська делегація і голова Крайової ради Рябовол висловив протест проти політики беззаконня денікінського ""Особоґо совєщанія"", Драгомиров заявив: ""Прашу голоса нє павишать.",3,прийшла,прийти,при,іти́/йти́,делегація,до,нього,Gen,він,До,literal,,model,16946.0,"Коли до нього [TARGET] прийшла [/TARGET] кубанська делегація і голова Крайової ради Рябовол висловив протест проти політики беззаконня денікінського ""Особоґо совєщанія"", Драгомиров заявив: ""Прашу голоса нє павишать."
6132,"Коли Єгор прийшов в себе і побачив схилену над ним дівчину-ангела, то його серце завмерло.",2,прийшов,прийти,при,іти́/йти́,Єгор,в,себе,Acc,себе,В,literal,,model,16949.0,"Коли Єгор [TARGET] прийшов [/TARGET] в себе і побачив схилену над ним дівчину-ангела, то його серце завмерло."
6133,"Коли ж він прийшов до тями, зловмисник знову наніс йому удар в голову, від чого той знову знепритомнів.",3,прийшов,прийти,при,іти́/йти́,він,до,тями,Gen,тяма,До,literal,,model,16952.0,"Коли ж він [TARGET] прийшов [/TARGET] до тями, зловмисник знову наніс йому удар в голову, від чого той знову знепритомнів."
6134,"Коли ж людина приходить на рік працювати, вона через півроку тільки вникне у ситуацію, а виправляти її вже не буде коли.",3,приходить,приходити,при,ходи́ти,людина,на,рік,Acc,рік,На,literal,,model,16955.0,"Коли ж людина [TARGET] приходить [/TARGET] на рік працювати, вона через півроку тільки вникне у ситуацію, а виправляти її вже не буде коли."
6135,"Коли ж підлеглого не було на місці, шеф вмикав мікрофон, з’єднаний з гучномовцем на стовпі, що височів на подвір’ї комунгоспу, і наказував недисциплінованому працівникові негайно зайти до офісу.",25,зайти,зайти,за,іти́/йти́,,до,офісу,Gen,офіс,До,literal,,model,16960.0,"Коли ж підлеглого не було на місці, шеф вмикав мікрофон, з’єднаний з гучномовцем на стовпі, що височів на подвір’ї комунгоспу, і наказував недисциплінованому працівникові негайно [TARGET] зайти [/TARGET] до офісу."
6137,"Коли ж прийшли до ріки, сотворив про них молитву і хрестив у ім'я Отця, і Сина, і Святого Духа.",2,прийшли,прийти,при,іти́/йти́,,до,ріки,Gen,ріка,До,literal,,model,16964.0,"Коли ж [TARGET] прийшли [/TARGET] до ріки, сотворив про них молитву і хрестив у ім'я Отця, і Сина, і Святого Духа."
6141,Коли зайшов до нас пан Олег.,1,зайшов,зайти,за,іти́/йти́,пан,до,нас,Gen,ми,До,literal,,model,16982.0,Коли [TARGET] зайшов [/TARGET] до нас пан Олег.
6142,"Коли заходиш в бібліотеку, здається, ніби потрапляєш у казку.",1,заходиш,заходити,за,ходи́ти,,в,бібліотеку,Acc,бібліотека,В,literal,,model,16989.0,"Коли [TARGET] заходиш [/TARGET] в бібліотеку, здається, ніби потрапляєш у казку."
6143,"Коли знайомі приходять у гості і просять показати медаль, я завжди запитую у доньки: «Лізочка, чия це медаль?»",2,приходять,приходити,при,ходи́ти,знайомі,у,гості,Acc,гість,В,literal,,model,16995.0,"Коли знайомі [TARGET] приходять [/TARGET] у гості і просять показати медаль, я завжди запитую у доньки: «Лізочка, чия це медаль?»"
6144,"Коли Ісусові виповнилось тридцять років і настав час вийти йому до людей зі своєю наукою, він із Галілеї прийшов на річку Йордан до Іоанна Хрестителя, щоб охреститися від нього.",8,вийти,вийти,ви,іти́/йти́,,до,людей,Gen,людина,До,literal,,model,17001.0,"Коли Ісусові виповнилось тридцять років і настав час [TARGET] вийти [/TARGET] йому до людей зі своєю наукою, він із Галілеї прийшов на річку Йордан до Іоанна Хрестителя, щоб охреститися від нього."
6145,"Коли Їй виповнилося три роки, вдячні батьки, виконуючи свою обітниццю, привели Марію в Єрусалимський храм, де Її урочисто зустрів первосвященик.",10,привели,привести,при,вести́,батьки,в,храм,Acc,храм,В,literal,,model,17006.0,"Коли Їй виповнилося три роки, вдячні батьки, виконуючи свою обітниццю, [TARGET] привели [/TARGET] Марію в Єрусалимський храм, де Її урочисто зустрів первосвященик."
6146,"Коли його батько прийшов до мене в келію і відкрив мені свій біль, япорадив йому зробити так, як велить йому його духівник.",3,прийшов,прийти,при,іти́/йти́,батько,в,келію,Acc,келія,В,literal,,model,17016.0,"Коли його батько [TARGET] прийшов [/TARGET] до мене в келію і відкрив мені свій біль, япорадив йому зробити так, як велить йому його духівник."
6147,"Коли йому сказали, що за те, до чого він довів місто його потрібно посадити в буцигарню, Занік відповів, що краще відсидіти в тюрмі, ніж працювати в таких умовах, забувши, що він і його поплічники ці умови в місті й створили.",9,довів,довести,до,вести́,він,до,чого,Gen,що,До,literal,,model,17023.0,"Коли йому сказали, що за те, до чого він [TARGET] довів [/TARGET] місто його потрібно посадити в буцигарню, Занік відповів, що краще відсидіти в тюрмі, ніж працювати в таких умовах, забувши, що він і його поплічники ці умови в місті й створили."
6149,"Коли кримські татари почали масово приїздити в міста, ми помітили, що місцеві мешканці дуже тепло їх сприймають.",5,приїздити,приїздити,при,ї́здити,,в,міста,Acc,місто,В,literal,,model,17044.0,"Коли кримські татари почали масово [TARGET] приїздити [/TARGET] в міста, ми помітили, що місцеві мешканці дуже тепло їх сприймають."
6150,"Коли Леся прийшла в цю сім'ю, намагалася ""не обтяжувати Кльоню"".",2,прийшла,прийти,при,іти́/йти́,Леся,в,сім'ю,Acc,сім’я,В,literal,,model,17046.0,"Коли Леся [TARGET] прийшла [/TARGET] в цю сім'ю, намагалася ""не обтяжувати Кльоню""."
6151,"Коли людина згрішила і хоче покаятися, їй необхідно прийти до Бога, шукати Його лиця, принести жертву по спроможності вашої руки.",8,прийти,прийти,при,іти́/йти́,,до,Бога,Gen,бог,До,literal,,model,17050.0,"Коли людина згрішила і хоче покаятися, їй необхідно [TARGET] прийти [/TARGET] до Бога, шукати Його лиця, принести жертву по спроможності вашої руки."
6152,"Коли люди слухаються Господа, Він приходить до таких людей.",5,приходить,приходити,при,ходи́ти,Він,до,людей,Gen,людина,До,literal,,model,17052.0,"Коли люди слухаються Господа, Він [TARGET] приходить [/TARGET] до таких людей."
6153,"Коли Малий зайшов до вітальні, мама, тато, Боссе й Бетан уже сиділи біля столу.",2,зайшов,зайти,за,іти́/йти́,Малий,до,вітальні,Gen,вітальня,До,literal,,model,17056.0,"Коли Малий [TARGET] зайшов [/TARGET] до вітальні, мама, тато, Боссе й Бетан уже сиділи біля столу."
6154,"Коли малюк довго не може сходити в туалет, токсини, які проникають в дитячий організм, завдають більшої шкоди.",5,сходити,сходити,з,ходи́ти,,в,туалет,Acc,туалет,В,literal,,model,17058.0,"Коли малюк довго не може [TARGET] сходити [/TARGET] в туалет, токсини, які проникають в дитячий організм, завдають більшої шкоди."
6155,"Коли мати-цариця прибігла в спальню, вона, обливаючись сльозами, дивилася на вбитого, оповитого свинцево-сірою блідістю, і не могла розпізнати підміни.",2,прибігла,прибігти,при,бíгти,мати,в,спальню,Acc,спальня,В,literal,,model,17061.0,"Коли мати-цариця [TARGET] прибігла [/TARGET] в спальню, вона, обливаючись сльозами, дивилася на вбитого, оповитого свинцево-сірою блідістю, і не могла розпізнати підміни."
6156,"Коли мене, 15-річну школрярку, Гузь Світлана Миколаївна привела на першу конференцію ЄМП, я зрозуміла, що потрапила до нового світу.",7,привела,привести,при,вести́,Гузь,на,конференцію,Acc,конференція,На,literal,,model,17063.0,"Коли мене, 15-річну школрярку, Гузь Світлана Миколаївна [TARGET] привела [/TARGET] на першу конференцію ЄМП, я зрозуміла, що потрапила до нового світу."
6158,Коли ми вийшли на гребінь…,2,вийшли,вийти,ви,іти́/йти́,ми,на,гребінь,Acc,гребінь,На,literal,,model,17069.0,Коли ми [TARGET] вийшли [/TARGET] на гребінь…
6160,Коли ми вийшли на хребет - нас просто здувало.,2,вийшли,вийти,ви,іти́/йти́,ми,на,хребет,Acc,хребет,На,literal,,model,17071.0,Коли ми [TARGET] вийшли [/TARGET] на хребет - нас просто здувало.
6162,"«Коли ми зайшли в це приміщення, Махно одразу сказав: «Це те, що треба!»",2,зайшли,зайти,за,іти́/йти́,ми,в,приміщення,Acc,приміщення,В,literal,,model,17078.0,"«Коли ми [TARGET] зайшли [/TARGET] в це приміщення, Махно одразу сказав: «Це те, що треба!»"
6163,"Коли ми заходимо в будинок, то, відразу ж знімаємо верхній одяг і взуття.",2,заходимо,заходити,за,ходи́ти,ми,в,будинок,Acc,будинок,В,literal,,model,17079.0,"Коли ми [TARGET] заходимо [/TARGET] в будинок, то, відразу ж знімаємо верхній одяг і взуття."
6164,"Коли ми з попутником прийшли до поліцейської дільниці, щоб пред’явити спеціально отримані в Пекіні документи, нас заарештували і допитували близько 5 годин.",4,прийшли,прийти,при,іти́/йти́,ми,до,дільниці,Gen,дільниця,До,literal,,model,17082.0,"Коли ми з попутником [TARGET] прийшли [/TARGET] до поліцейської дільниці, щоб пред’явити спеціально отримані в Пекіні документи, нас заарештували і допитували близько 5 годин."
